element,value
phcase_effectiveTiming_repeat_boundsDuration_code,
phcase_effectiveTiming_repeat_boundsDuration_comparator,
phcase_effectiveTiming_repeat_boundsDuration_system,
phcase_effectiveTiming_repeat_boundsDuration_unit,
phcase_effectiveTiming_repeat_boundsDuration_value,
phcase_effectiveTiming_repeat_boundsPeriod_end,
phcase_effectiveTiming_repeat_boundsPeriod_start,
phcase_effectiveTiming_repeat_boundsRange_high_code,
phcase_effectiveTiming_repeat_boundsRange_high_comparator,
phcase_effectiveTiming_repeat_boundsRange_high_system,
phcase_effectiveTiming_repeat_boundsRange_high_unit,
phcase_effectiveTiming_repeat_boundsRange_high_value,
phcase_effectiveTiming_repeat_boundsRange_low_code,
phcase_effectiveTiming_repeat_boundsRange_low_comparator,
phcase_effectiveTiming_repeat_boundsRange_low_system,
phcase_effectiveTiming_repeat_boundsRange_low_unit,
phcase_effectiveTiming_repeat_boundsRange_low_value,
phcase_effectiveTiming_repeat_count,
phcase_effectiveTiming_repeat_countMax,
phcase_effectiveTiming_repeat_dayOfWeek,
phcase_effectiveTiming_repeat_duration,
phcase_effectiveTiming_repeat_durationMax,
phcase_effectiveTiming_repeat_durationUnit,
phcase_effectiveTiming_repeat_frequency,
phcase_effectiveTiming_repeat_frequencyMax,
phcase_effectiveTiming_repeat_offset,
phcase_effectiveTiming_repeat_period,
phcase_effectiveTiming_repeat_periodMax,
phcase_effectiveTiming_repeat_periodUnit,
phcase_effectiveTiming_repeat_timeOfDay,
phcase_effectiveTiming_repeat_when,
phcase_identifier_period_end,
phcase_identifier_period_start,
phcase_identifier_system,
phcase_identifier_type_coding_code,
phcase_identifier_type_coding_display,
phcase_identifier_type_coding_system,
phcase_identifier_type_coding_userSelected,
phcase_identifier_type_coding_version,
phcase_identifier_type_text,
phcase_identifier_use,
phcase_identifier_value,
phcase_issued,
phcase_jurisdiction_display,
phcase_jurisdiction_identifier_period_end,
phcase_jurisdiction_identifier_period_start,
phcase_jurisdiction_identifier_system,
phcase_jurisdiction_identifier_type_coding_code,
phcase_jurisdiction_identifier_type_coding_display,
phcase_jurisdiction_identifier_type_coding_system,
phcase_jurisdiction_identifier_type_coding_userSelected,
phcase_jurisdiction_identifier_type_coding_version,
phcase_jurisdiction_identifier_type_text,
phcase_jurisdiction_identifier_use,
phcase_jurisdiction_identifier_value,
phcase_jurisdiction_reference,
phcase_location_display,"Salem Medical Center,  4646 Brown Rd, Salem, MA  02368"
phcase_location_identifier_period_end,
phcase_location_identifier_period_start,
phcase_location_identifier_system,
phcase_location_identifier_type_coding_code,
phcase_location_identifier_type_coding_display,
phcase_location_identifier_type_coding_system,
phcase_location_identifier_type_coding_userSelected,
phcase_location_identifier_type_coding_version,
phcase_location_identifier_type_text,
phcase_location_identifier_use,
phcase_location_identifier_value,
phcase_location_reference,Location/phcase-smc
phcase_note_authorReference_display,
phcase_note_authorReference_identifier_period_end,
phcase_note_authorReference_identifier_period_start,
phcase_note_authorReference_identifier_system,
phcase_note_authorReference_identifier_type_coding_code,
phcase_note_authorReference_identifier_type_coding_display,
phcase_note_authorReference_identifier_type_coding_system,
phcase_note_authorReference_identifier_type_coding_userSelected,
phcase_note_authorReference_identifier_type_coding_version,
phcase_note_authorReference_identifier_type_text,
phcase_note_authorReference_identifier_use,
phcase_note_authorReference_identifier_value,
phcase_note_authorReference_reference,
phcase_note_authorString,
phcase_note_text,
phcase_note_time,
phcase_occupationCode_coding_code,
phcase_occupationCode_coding_display,
phcase_occupationCode_coding_system,
phcase_occupationCode_coding_userSelected,
phcase_occupationCode_coding_version,
phcase_occupationCode_text,"Centers for Disease Control 1, Peachtree St South Atlanta, GA, 404-564-7865  Since JAN 1, 1993"
phcase_occupationReference_display,
phcase_occupationReference_identifier_period_end,
phcase_occupationReference_identifier_period_start,
phcase_occupationReference_identifier_system,
phcase_occupationReference_identifier_type_coding_code,
phcase_occupationReference_identifier_type_coding_display,
phcase_occupationReference_identifier_type_coding_system,
phcase_occupationReference_identifier_type_coding_userSelected,
phcase_occupationReference_identifier_type_coding_version,
phcase_occupationReference_identifier_type_text,
phcase_occupationReference_identifier_use,
phcase_occupationReference_identifier_value,
phcase_occupationReference_reference,
phcase_orderedDiagnostics_isReasonExtension,TRUE
phcase_orderedDiagnostics_reference_display,Zika virus envelope (E) gene [Presence] in Serum by Probe and target amplification method
phcase_orderedDiagnostics_reference_identifier_period_end,
phcase_orderedDiagnostics_reference_identifier_period_start,
phcase_orderedDiagnostics_reference_identifier_system,
phcase_orderedDiagnostics_reference_identifier_type_coding_code,
phcase_orderedDiagnostics_reference_identifier_type_coding_display,
phcase_orderedDiagnostics_reference_identifier_type_coding_system,
phcase_orderedDiagnostics_reference_identifier_type_coding_userSelected,
phcase_orderedDiagnostics_reference_identifier_type_coding_version,
phcase_orderedDiagnostics_reference_identifier_type_text,
phcase_orderedDiagnostics_reference_identifier_use,
phcase_orderedDiagnostics_reference_identifier_value,
phcase_orderedDiagnostics_reference_reference,ProcedureRequest/phcase-zika
phcase_partOf_display,
phcase_partOf_identifier_period_end,
phcase_partOf_identifier_period_start,
phcase_partOf_identifier_system,
phcase_partOf_identifier_type_coding_code,
phcase_partOf_identifier_type_coding_display,
phcase_partOf_identifier_type_coding_system,
phcase_partOf_identifier_type_coding_userSelected,
phcase_partOf_identifier_type_coding_version,
phcase_partOf_identifier_type_text,
phcase_partOf_identifier_use,
phcase_partOf_identifier_value,
phcase_partOf_reference,
phcase_reporter_display,"Micheal Colletta, M.D."
phcase_reporter_identifier_period_end,
phcase_reporter_identifier_period_start,
phcase_reporter_identifier_system,
phcase_reporter_identifier_type_coding_code,
phcase_reporter_identifier_type_coding_display,
phcase_reporter_identifier_type_coding_system,
phcase_reporter_identifier_type_coding_userSelected,
phcase_reporter_identifier_type_coding_version,
phcase_reporter_identifier_type_text,
phcase_reporter_identifier_use,
phcase_reporter_identifier_value,
phcase_reporter_reference,Practitioner/phcase-mc
phcase_status,
phcase_subject_display,Jane Stinn
phcase_subject_identifier_period_end,
phcase_subject_identifier_period_start,
phcase_subject_identifier_system,
phcase_subject_identifier_type_coding_code,
phcase_subject_identifier_type_coding_display,
phcase_subject_identifier_type_coding_system,
phcase_subject_identifier_type_coding_userSelected,
phcase_subject_identifier_type_coding_version,
phcase_subject_identifier_type_text,
phcase_subject_identifier_use,
phcase_subject_identifier_value,
phcase_subject_reference,Patient/phcase-js
phcase_travelHistory_date_end,2007
phcase_travelHistory_date_start,1999
phcase_travelHistory_locationCode_coding_code,
phcase_travelHistory_locationCode_coding_display,
phcase_travelHistory_locationCode_coding_system,
phcase_travelHistory_locationCode_coding_userSelected,
phcase_travelHistory_locationCode_coding_version,
phcase_travelHistory_locationCode_text,"1999 to 2007 Spent 8 years in the UK during the BSE outbreak,  In the 3 weeks before NOV 9, 2016  Brazil, APR 29, 2016 to OCT 30, 2016  Nadi, FJ ,MAY 6, 2016 to MAY 15, 2016  Montreal, QC, CA, JUL 13, 2016 to JUL 15, 2016  Sydney, NSW, AU ,OCT 22, 2016 to OCT 30, 2016  1170 N Rancho Robles Rd Oracle, AZ8562, US"
phcase_travelHistory_locationReference_display,
phcase_travelHistory_locationReference_identifier_period_end,
phcase_travelHistory_locationReference_identifier_period_start,
phcase_travelHistory_locationReference_identifier_system,
phcase_travelHistory_locationReference_identifier_type_coding_code,
phcase_travelHistory_locationReference_identifier_type_coding_display,
phcase_travelHistory_locationReference_identifier_type_coding_system,
phcase_travelHistory_locationReference_identifier_type_coding_userSelected,
phcase_travelHistory_locationReference_identifier_type_coding_version,
phcase_travelHistory_locationReference_identifier_type_text,
phcase_travelHistory_locationReference_identifier_use,
phcase_travelHistory_locationReference_identifier_value,
phcase_travelHistory_locationReference_reference,
phcase_treatments_display,Azithromycin 500 MG Oral Tablet
phcase_treatments_identifier_period_end,
phcase_treatments_identifier_period_start,
phcase_treatments_identifier_system,
phcase_treatments_identifier_type_coding_code,
phcase_treatments_identifier_type_coding_display,
phcase_treatments_identifier_type_coding_system,
phcase_treatments_identifier_type_coding_userSelected,
phcase_treatments_identifier_type_coding_version,
phcase_treatments_identifier_type_text,
phcase_treatments_identifier_use,
phcase_treatments_identifier_value,
phcase_treatments_reference,MedicationStatement/phcase-azithro
