"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RR LM","Mapping: Workflow Mapping","Mapping: W5 Mapping","Mapping: RIM Mapping"
"Communication","","","",0,*,"Y","","","","A record of information transmitted from a sender to a receiver","An occurrence of information being transmitted; e.g. an alert that was sent to a responsible provider, a public health agency was notified about a reportable condition.","","","","","","","","","",,,,,"",,,,"Communication",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}com-1:Not Done Reason can only be specified if NotDone is ""true"" {notDone or notDoneReason.exists().not()}","Event","workflow.encounter","Entity. Role, or Act"
"Communication.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Communication.meta","","","",0,1,"","","Y","Meta
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content may not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"",""
"Communication.identifier","","","",0,*,"Y","","Y","Identifier
","Unique identifier","Identifiers associated with this Communication that are defined by business processes and/ or used to refer to it when a direct URL reference to the resource itself is not appropriate (e.g. in CDA documents, or in written / printed documentation).","","","","","","","","","",,,,,"",,,,"Communication.identifier",0,*,"","","RR.uniqueIdentifier","Event.identifier","id"
"Communication.definition","","","",0,*,"Y","","Y","Reference {http://fhir.hl7.org/us/case/StructureDefinition/rr-plandefinition}
","Instantiates protocol or definition","A protocol, guideline, or other definition that was adhered to in whole or in part by this communication event.","","","","","","","","","",,,,,"",,,,"Communication.definition",0,*,"","","RR.authoringAgency","Event.definition"
"Communication.basedOn","","fulfills
","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Request fulfilled by this communication","An order, proposal or plan fulfilled in whole or in part by this Communication.","This must point to some sort of a 'Request' resource, such as CarePlan, CommunicationRequest, ReferralRequest, MedicationRequest, etc.","","","","","","","","",,,,,"",,,,"Communication.basedOn",0,*,"","","Event.basedOn"
"Communication.partOf","","container
","",0,*,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Part of this action","Part of this action.","","","","","","","","","",,,,,"",,,,"Communication.partOf",0,*,"","","Event.partOf"
"Communication.status","","","",1,1,"Y","Y","Y","code
","eICR Processing Status","The status of eICR processing, including an acknowledgemen of successful processing or any known errors encountered during eICR processing.","This element is labeled as a modifier because the status contains the codes aborted and entered-in-error that mark the communication as not currently valid.","","","","","","","","",,"required","The status of the communication.","http://hl7.org/fhir/ValueSet/event-status","",,,,"Communication.status",1,1,"","","RR.eICRProcessing.status","Event.status","status"
"Communication.notDone","","","",0,1,"Y","Y","Y","boolean
","eICR Processing Error Reason","If the incoming eICR was not processed by the PHA system (or its intermediary), will contain the reason it was not processed.","This element is labeled as a modifier because it marks the communication as a communication that did not occur.  The more attributes are populated, the more constrained the negated statement is.","Creating a Communication where notDone is true is intended for situations where there's a need for a specific statement in the record about something not being done.  If the need is merely to indicate that a request wasn't fulfilled, that should be handled using Task.","","","","","","","",,,,,"",,,,"Communication.notDone",0,1,"","","RR.eICRProcessing.errorReason","Event.notDone"
"Communication.notDoneReason","","","",0,1,"Y","","Y","CodeableConcept
","eICR Processing Error Reason","If the incoming eICR was not processed by the PHA system (or its intermediary), will contain the reason it was not processed.","","","","","","","","","",,"required","If the incoming eICR was not processed by the PHA system (or its intermediary), will contain the reason it was not processed","http://fhir.hl7.org/us/case/ValueSet/error-reason","",,,,"Communication.notDoneReason",0,1,"com-1
","","RR.eICRProcessing.warningReason","Event.notDoneReason"
"Communication.category","","","",0,*,"Y","","","CodeableConcept
","Message category","The type of message conveyed such as alert, notification, reminder, instruction, etc.","There may be multiple axes of categorization and one communication may serve multiple purposes.","","","","","","","","",,"example","Codes for general categories of communications such as alerts, instruction, etc.","http://hl7.org/fhir/ValueSet/communication-category","","value:coding.code}
","",,"open","Communication.category",0,*,"","","Event.code","class"
"Communication.category","priority","Priority Code
","",1,1,"Y","","","CodeableConcept
","Priority Code","A value indicating the overall priority of the Reportability Response, derived from the highest priority level of the links contained in the coded section.","There may be multiple axes of categorization and one communication may serve multiple purposes.","","","","","","","","",,"required","Category codes indicating the relative importance of a communication.","http://fhir.hl7.org/us/case/ValueSet/rr-priority","",,,,"Communication.category",0,*,"","","RR.priority","Event.code","class"
"Communication.medium","","","",0,*,"","","","CodeableConcept
","A channel of communication","A channel that was used for this communication (e.g. email, fax).","","","","","","","","","",,"example","Codes for communication mediums such as phone, fax, email, in person, etc.","http://hl7.org/fhir/ValueSet/v3-ParticipationMode","",,,,"Communication.medium",0,*,"",""
"Communication.subject","","patient
","",0,1,"Y","","Y","Reference {http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient}
","Focus of message","The patient or group that was the focus of this communication.","","","","","","","","","",,,,,"",,,,"Communication.subject",0,1,"","","RR.patient","Event.subject","who.focus"
"Communication.recipient","","","",0,*,"Y","","","Reference {http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization}
","EICR recipients and Intermediaries","The entity (e.g. person, organization, clinical information system, or device) which was the target of the communication. If receipts need to be tracked by individual, a separate resource instance will need to be created for each recipient.  Multiple recipient communications are intended where either a receipt(s) is not tracked (e.g. a mass mail-out) or is captured in aggregate (all emails confirmed received by a particular time).","Reporting may beidentified for multiple PHAs by the PHA system (or its intermediary) (because the patient's residence and the provider location are in separate jurisdictions) including other identified organization (such as an HIE) to which the eICR (if deemed reportable) and/or the Reportability Response will be routed.","","","","","","","","",,,,,"",,,,"Communication.recipient",0,*,"","","RR.Responsible Agent, RR.routingEntity","who.focus"
"Communication.recipient.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.recipient.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.recipient.extension","primaryAgency","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-primary-agency}
","Location Relevance","A code indicating whether the responsible PHA is relevant because of the patient's home address, the provider facility address, or both.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.responsibleAgency.primary"
"Communication.recipient.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.recipient.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.recipient.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-primary-agency""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.recipient.extension.valueBoolean","","","",0,1,"","","","boolean
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.recipient.extension","locationRelevance","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-loc-relevance}
","Location Relevance","A code indicating whether the responsible PHA is relevant because of the patient's home address, the provider facility address, or both.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.locationRelevance"
"Communication.recipient.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.recipient.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.recipient.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-loc-relevance""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.recipient.extension.valueCode","","","",0,1,"","","","code
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","Indicates whether the responsible PHA is relevant because of the patient's home address, the provider facility address, or both","ValueSet/lr-codes","",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.recipient.reference","","","",0,1,"","","Y","string
","Literal reference, Relative, internal or absolute URL","A reference to a location at which the other resource is found. The reference may be a relative reference, in which case it is relative to the service base URL, or an absolute URL that resolves to the location where the resource is found. The reference may be version specific or not. If the reference is not to a FHIR RESTful server, then it should be assumed to be version specific. Internal fragment references (start with '#') refer to contained resources.","Using absolute URLs provides a stable scalable approach suitable for a cloud/web context, while using relative/logical references provides a flexible approach suitable for use when trading across closed eco-system boundaries.   Absolute URLs do not need to point to a FHIR RESTful server, though this is the preferred approach. If the URL conforms to the structure ""/[type]/[id]"" then it should be assumed that the reference is to a FHIR RESTful server.","","","","","","","","",,,,,"",,,,"Reference.reference",0,1,"ref-1
","","N/A"
"Communication.recipient.identifier","","","",0,1,"","","Y","Identifier
","Logical reference, when literal reference is not known","An identifier for the other resource. This is used when there is no way to reference the other resource directly, either because the entity is not available through a FHIR server, or because there is no way for the author of the resource to convert a known identifier to an actual location. There is no requirement that a Reference.identifier point to something that is actually exposed as a FHIR instance, but it SHALL point to a business concept that would be expected to be exposed as a FHIR instance, and that instance would need to be of a FHIR resource type allowed by the reference.","When an identifier is provided in place of a reference, any system processing the reference will only be able to resolve the identifier to a reference if it understands the business context in which the identifier is used. Sometimes this is global (e.g. a national identifier) but often it is not. For this reason, none of the useful mechanisms described for working with references (e.g. chaining, includes) are possible, nor should servers be expected to be able resolve the reference. Servers may accept an identifier based reference untouched, resolve it, and/or reject it - see CapabilityStatement.rest.resource.referencePolicy. 

When both an identifier and a literal reference are provided, the literal reference is preferred. Applications processing the resource are allowed - but not required - to check that the identifier matches the literal reference

Applications converting a logical reference to a literal reference may choose to leave the logical reference present, or remove it.","","","","","","","","",,,,,"",,,,"Reference.identifier",0,1,"","",".identifier"
"Communication.recipient.display","","","",0,1,"","","Y","string
","Text alternative for the resource","Plain text narrative that identifies the resource in addition to the resource reference.","This is generally not the same as the Resource.text of the referenced resource.  The purpose is to identify what's being referenced, not to fully describe it.","","","","","","","","",,,,,"",,,,"Reference.display",0,1,"","","N/A"
"Communication.topic","","","",0,*,"Y","","","Reference {http://hl7.org/fhir/StructureDefinition/Any}
","What","What this RR Communcation is about.","Use the [`.display`] (http://build.fhir.org/references-definitions.html#Reference.display) element to represent the text.","","","","","","","","",,,,,"",,,,"Communication.topic",0,*,"","","RR.eICR","context"
"Communication.topic.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.topic.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.topic.extension","topicSummary","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-summary}
","Summary","A human-readable narrative summary that contains a reportability determination, the responsible PHA(s), and the PHA(s) that will be sent the eICR (when deemed reportable).","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.summary"
"Communication.topic.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.topic.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.topic.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-summary""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.topic.extension.valueString","","","",0,1,"","","","string
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.topic.extension","topicReportable","","",0,*,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-dor}
","Determination of Reportability","The determination of reportability generated by the PHA system (or its intermediary). Generally, this is expected to be Yes, No, or Maybe.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.determinationofReportability.code"
"Communication.topic.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.topic.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.topic.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-dor""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.topic.extension.valueCode","","","",0,1,"","","","code
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","The determination of reportability generated by the PHA system (or its intermediary). Generally, this is expected to be Yes, No, or Maybe.","http://hl7.org/fhir/ValueSet/v2-0532","",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.topic.extension","topicReportableReason","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-dor-reason}
","Determination of Reportability Reason","A reason code indicating the reason for the reportability status.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.determinationofReportability.reason"
"Communication.topic.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.topic.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Communication.topic.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-dor-reason""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Communication.topic.extension.valueCodeableConcept","","","",0,1,"","","","CodeableConcept
","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"required","A reason code indicating the reason for the reportability status","http://fhir.hl7.org/us/case/ValueSet/dor-reason","",,,,"Extension.value[x]",0,1,"","","N/A"
"Communication.topic.extension","topicReportableRule","","",0,1,"Y","","","Extension {http://fhir.hl7.org/us/case/StructureDefinition/extension-topic-dor-rule}
","Determination of Reportability Rule","A rule that was involved in the determination of the reportability status.","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","","RR.determination of Reportability.rule"
"Communication.topic.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Communication.topic.extension.extension","","extensions
user content","",0,*,"","","","Extension
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
