Data Element,FHIR Contained by,FHIR Resource,FHIR Element Path,CDA Section,CDA Mapping
Facility Phone,Encounter[eicr-encounter].location,Location(eicr-location),"[telecom[system=""phone""]](StructureDefinition-eicr-location-definitions.html#Location.telecom)",eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/location/healthCareFacility/serviceProviderOrganization/telecom[tel:]
Facility FAX,Encounter[eicr-encounter].location,Location(eicr-location),"[telecom[system=""fax""]](StructureDefinition-eicr-location-definitions.html#Location.telecom)",eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/location/healthCareFacility/serviceProviderOrganization/telecom[fax:]
Facility Address,Encounter[eicr-encounter].location,Location(eicr-location),[address](StructureDefinition-eicr-location-definitions.html#Location.address),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/location/healthCareFacility/location/addr
Patient ID Number,Composition[eicr-composition].subject,Patient[ecr-patient],[identifier](StructureDefinition-ecr-patient-definitions.html#Patient.identifier),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/id
Patient Name,Composition[eicr-composition].subject,Patient[ecr-patient],[name](StructureDefinition-ecr-patient-definitions.html#Patient.name),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/patient/name
Patient Phone,Composition[eicr-composition].subject,Patient[ecr-patient],"[telecom[system=""phone""]](StructureDefinition-ecr-patient-definitions.html#Patient.telecom)",US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/telecom[tel:]
Patient Email,Composition[eicr-composition].subject,Patient[ecr-patient],"[telecom[system=""email""]](StructureDefinition-ecr-patient-definitions.html#Patient.telecom)",US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/telecom[mailto:]
Parent/ Guardian Name,Composition[eicr-composition].subject,Patient[ecr-patient],[contact.name](StructureDefinition-ecr-patient-definitions.html#Patient.contact.name),US Realm Header (V3),Clinical Document/record target/patientRole/patient/guardian/guardianPerson/name
Parent/ Guardian Phone,Composition[eicr-composition].subject,Patient[ecr-patient],"[contact.telecom[system=""phone""]](StructureDefinition-ecr-patient-definitions.html#Patient.contact.telecom)",US Realm Header (V3),Clinical Document/record target/patientRole/patient/guardian/telecom[tel:]
Parent/ Guardian Email,Composition[eicr-composition].subject,Patient[ecr-patient],"[contact.telecom[system=""email""]](StructureDefinition-ecr-patient-definitions.html#Patient.contact.telecom)",US Realm Header (V3),Clinical Document/record target/patientRole/patient/guardian/telecom[mailto:]
Patient Street Address,Composition[eicr-composition].subject,Patient[ecr-patient],[address](StructureDefinition-ecr-patient-definitions.html#Patient.address),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/addr
Patient Birth Date,Composition[eicr-composition].subject,Patient[ecr-patient],[birthdate](StructureDefinition-ecr-patient-definitions.html#Patient.birthdate),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/patient/birthTime
Patient Sex,Composition[eicr-composition].subject,Patient[ecr-patient],[us-core-birthsex](StructureDefinition-ecr-patient-definitions.html#Patient.extension:birthsex),Social History Section (V3),Birth Sex Observation/code
Patient Race,Composition[eicr-composition].subject,Patient[ecr-patient],[us-core-race](StructureDefinition-ecr-patient-definitions.html#Patient.extension:race),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/patient/raceCode + ClinicalDocument/recordTarget/patientRole/patient/sdtc:raceCode
Patient Ethnicity,Composition[eicr-composition].subject,Patient[ecr-patient],[us-core-ethnicity](StructureDefinition-ecr-patient-definitions.html#Patient.extension:ethnicity),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/patient/ethnicGroupCode + ClinicalDocument/recordTarget/patientRole/patient/sdtc:ethnicGroupCode
Preferred Language,Composition[eicr-composition].subject,Patient[ecr-patient],[communication.language](StructureDefinition-ecr-patient-definitions.html#Patient.communication.language),US Realm Header (V3),ClinicalDocument/recordTarget/patientRole/patient/languageCommunication/languageCode
Occupation,Composition[eicr-composition].section,Observation[eicr-occupationhistory],[valueCodeableConcept](StructureDefinition-eicr-occupationhistory-definitions.html#Observation),Social History Section (V3),Social History Observation (V3)/code
Pregnant,Composition[eicr-composition].section[Social History Section].entry,Observation[pregnancy-status],[valueCodeableConcept](StructureDefinition-pregnancy-status-definitions.html#Observation),Social History Section (V3),Pregnancy Observation/code
Hospital Unit,Encounter[eicr-encounter].location,Location(eicr-location),[type](StructureDefinition-eicr-location-definitions.html#Location.type),eICR Initial Public Health Case Report Document (V2),ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/code
Visit Date/Time,Composition[eicr-composition].encounter,Encounter[eicr-encounter],[period.start](StructureDefinition-eicr-encounter-definitions.html#Encounter.period),eICR Initial Public Health Case Report Document (V2),ClinicalDocument/componentOf/encompassingEncounter/effectiveTime/low
Admission Date/Time,Composition[eicr-composition].encounter,Encounter[eicr-encounter],[period.start](StructureDefinition-eicr-encounter-definitions.html#Encounter.period),eICR Initial Public Health Case Report Document (V2),ClinicalDocument/componentOf/encompassingEncounter/effectiveTime/low
Discharge Date/Time,Composition[eicr-composition].encounter,Encounter[eicr-encounter],[period.end](StructureDefinition-eicr-encounter-definitions.html#Encounter.period),eICR Initial Public Health Case Report Document (V2),ClinicalDocument/componentOf/encompassingEncounter/effectiveTime/high
History of Present Illness,,Composition[eicr-composition].section[History of Present Illness],[text](StructureDefinition-eicr-composition-definitions.html#Composition.section:sliceHistoryOfPresentIllnessSection.text),History of Present Illness Section,text
Reason for Visit,,Composition[eicr-composition].section[Reason for Visit],[text](StructureDefinition-eicr-composition-definitions.html#Composition.section:sliceReasonForVisitSection.text),Reason for Visit Section,text
Date of Onset,Composition[eicr-composition].section[Problems Section].entry,Observation[eicr-condition],[onset.start](StructureDefinition-eicr-condition-definitions.html#Condition.onset[x]),Problem Section (entries required) (V3),Problem Concern Act (V3)/Problem Observation (V3)/effectiveTime + Problem Concern Act (V3)/Initial Case Report Trigger Code Problem Observation/effectiveTime
Symptoms (list),Composition[eicr-composition].section[Problems Section].entry,Observation[eicr-condition],[code](StructureDefinition-eicr-condition-definitions.html#Condition.code),Problem Section (entries required) (V3),Problem Concern Act (V3)/Problem Observation (V3)/value
Lab Order Code,Composition[eicr-composition].section[Plan of Treatment Section].entry,ProcedureRequest[eicr-procedurerequest],[code](StructureDefinition-eicr-procedurerequest-definitions.html#ProcedureRequest.code),Plan of Treatment Section (V2),Planned Observation (V2)/code
Lab Order Code (Trigger),,Composition[eicr-composition].section[Plan of Treatment Section].entry[eicr-procedurerequest],[extension-eicr-trigger-code-flag](StructureDefinition-eicr-composition-definitions.html#Composition.section:slicePlanOfTreatmentSection.entry:sliceEICRProcedureRequest.extension:sliceTriggerEICRProcedureRequest),Plan of Treatment Section (V2),Initial Case Report Trigger Code Lab Test Order.code
Laboratory Results,Composition[eicr-composition].section[Plan of Treatment Section].entry,Observation[us-core-observationresults],[code and/or valueCodeableConcept](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-observationresults-definitions.html#Observation.code),Results Section (V3),"Result Observation (V3).code and/or
Result Observation (V3).value[xsi:type=""CD""]"
Laboratory Result (Trigger),,Composition[eicr-composition].section[Results Section].entry[us-core-observationresults],[extension-eicr-trigger-code-flag](StructureDefinition-eicr-composition-definitions.html#Composition.section:sliceResultsSection.entry:sliceUSCoreObservationResults.extension:sliceTriggerUSCoreObservationResults),Results Section (V3),"Result Organizer (V3)/Intitial Case Report Trigger Code Result Observation.code and/or
Result Organizer (V3)/Intitial Case Report Trigger Code Result Observation.value[xsi:type=""CD""]"
Filler Order Number,Composition[eicr-composition].section[Results Section].entry[us-core-observationresults],Observation[us-core-observationresults],[identifier](StructureDefinition-us-core-observationresults-definitions.html#Observation.identifier),Results Section (V3),Result Organizer (V3)/id
Diagnoses,Composition[eicr-composition].section[Problems Section].entry,Observation[eicr-condition],[code](StructureDefinition-eicr-condition-definitions.html#Condition.code),Problem Section (entries required) (V3),Problem Observation (V3)
Diagnosis (Trigger),Composition[eicr-composition].section[Problems Section].entry,Composition[eicr-composition].section[Problems Section].entry[eicr-condition],[extension-eicr-trigger-code-flag](StructureDefinition-eicr-composition-definitions.html#Composition.section:sliceProblemSection.entry:sliceEICRCondition.extension:sliceTriggerCondition),Problem Section (entries required) (V3),Initial Case Report Trigger Code Problem Observation
Date of Diagnosis,Composition[eicr-composition].section[Problems Section].entry,Observation[eicr-condition],[assertedDate](StructureDefinition-eicr-condition-definitions.html#Condition.assertedDate),Problem Section (entries required) (V3),Problem Observation (V3)
Medications Administered (list),Composition[eicr-composition].section[Medications Administered Section].entry,MedicationStatement[us-core-medicationstatement],[medication[x]](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-medicationstatement-definitions.html#MedicationStatement.medication[x]),Medications Administered Section (V2),Medication Information (V2)
Death Date,Composition[eicr-composition].subject,Patient[ecr-patient],[deceasedDateTime](StructureDefinition-ecr-patient-definitions.html#Patient.deceased[x]),eICR Initial Public Health Case Report Document (V2),ClinicalDocument/recordTarget/patientRole/patient/sdtc:deceasedInd
Immunization Status,Composition[eicr-composition].section[Immunizations Section].entry,Immunization[us-core-immunization],[](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-immunization.html),Immunications Section (entries required) (V3),Immunization Activity (V3)
Travel History Dates,Composition[eicr-composition].section[Social History Section].entry,Observation[eicr-travel-history],[effective[x]](StructureDefinition-eicr-travel-history-definitions.html#Observation.effective[x]),Social History Section (V3),Travel History/effectiveTime
Travel History Location - Free Text,Composition[eicr-composition].section[Social History Section].entry,Observation[eicr-travel-history],[component.valueCodeableConcept.text](StructureDefinition-eicr-travel-history-definitions.html#Observation.component.valueCodeableConcept:valueCodeableConcept.text),Social History Section (V3),Travel History/text
Travel History Location - Coded,Composition[eicr-composition].section[Social History Section].entry,Observation[eicr-travel-history],[component.valueCodeableConcept.coding](StructureDefinition-eicr-travel-history-definitions.html#Observation.component.valueCodeableConcept:valueCodeableConcept.coding),Social History Section (V3),Travel History/participant/participantRole/code
Travel History Location - Address,Composition[eicr-composition].section[Social History Section].entry,Observation[eicr-travel-history],[component.valueCodeableConcept.coding.extension-eicr-travel-history-address](StructureDefinition-eicr-travel-history-definitions.html#Observation.component.valueCodeableConcept:valueCodeableConcept.extension:travelHistoryAddress),Social History Section (V3),Travel History/participant/participantRole/addr
Manually Initiated eICR,,Composition[eicr-composition].extension,[extension-eicr-manually-initiated-reason](StructureDefinition-eicr-composition-definitions.html#Composition.extension:extensionEICRManuallyInitiatedReason),eICR Initial Public Health Case Report Document (V2),"ClinicalDocument/documentationOf/serviceEvent/code[@code=""PHC1464""]"
Manually Initiated eICR Reason,,Composition[eicr-composition].extension,[extension-eicr-manually-initiated-reason.valueString](StructureDefinition-eicr-composition-definitions.html#Composition.extension:extensionEICRManuallyInitiatedReason),Encounters Section (entries required) (V3),Encounter Activity (V3)/Initial Case Report Manual Initiation Reason Observation.value
