Data Element,FHIR Contained by,FHIR Resource,FHIR Element Path,CDA Section,CDA Mapping
Patient Ethnicity,Communication[rr-communication].subject,Patient[ecr-patient],[us-core-ethnicity](StructureDefinition-ecr-patient-definitions.html#Patient.extension:ethnicity),Header,ClinicalDocument/recordTarget/patientRole/patient/ethnicGroupCode + ClinicalDocument/recordTarget/patientRole/patient/sdtc:ethnicGroupCode
Patient ID Number,Communication[rr-communication].subject,Patient[ecr-patient],[identifier](StructureDefinition-ecr-patient-definitions.html#Patient.identifier),Header,ClinicalDocument/recordTarget/patientRole/id
Patient Name,Communication[rr-communication].subject,Patient[ecr-patient],[name](StructureDefinition-ecr-patient-definitions.html#Patient.name),Header,ClinicalDocument/recordTarget/patientRole/patient/name
Patient Phone,Communication[rr-communication].subject,Patient[ecr-patient],"[telecom[system=""phone""]](StructureDefinition-ecr-patient-definitions.html#Patient.telecom)",Header,ClinicalDocument/recordTarget/patientRole/telecom[tel:]
Patient Preferred Language,Communication[rr-communication].subject,Patient[ecr-patient],[communication.language](StructureDefinition-ecr-patient-definitions.html#Patient.communication.language),Header,ClinicalDocument/recordTarget/patientRole/patient/languageCommunication/languageCode
Patient Race,Communication[rr-communication].subject,Patient[ecr-patient],[us-core-race](StructureDefinition-ecr-patient-definitions.html#Patient.extension:race),Header,ClinicalDocument/recordTarget/patientRole/patient/raceCode + ClinicalDocument/recordTarget/patientRole/patient/sdtc:raceCode
Patient Street Address,Communication[rr-communication].subject,Patient[ecr-patient],[address](StructureDefinition-ecr-patient-definitions.html#Patient.address),Header,ClinicalDocument/recordTarget/patientRole/addr
Provider Address,Communication[rr-communication].recipient,Practitioner[us-core-practitioner],[address](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.address),Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/representedOrganization/addr
Provider Email,Communication[rr-communication].recipient,Practitioner[us-core-practitioner],"[telecom[system=""email""]](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom)",Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/telecom/[mailto:]
Provider Facility/Office Name,PractitionerRole.organization,Organization[eicr-organization],[name](StructureDefinition-ecr-organization-definitions.html#Organization.name),Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/representedOrganization/name
Provider Fax,Communication[rr-communication].recipient,Practitioner[us-core-practitioner],"[telecom[system=""fax']](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom)",Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/telecom/[fax:]
Provider ID,Communication[rr-communication].recipient,Practitioner[us-core-practitioner],[identifier](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.identifier),Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/id
Provider Name,Communication[rr-communication].recipient,Practitioner[us-core-practitioner],[name](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.name),Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/assignedPerson/name
Provider Phone,Communication[rr-communication].recipient,Practitioner[us-core-practitioner],"[telecom[system=""phone""]](https://www.hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom)",Header,ClinicalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/telecom/[tel:]
Relevant Reportable Condition Name,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[goal.address.coding.display](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.goal.addresses),Reportability Response Summary Section,Relevant Reportable Condition Observation/value/@displayName
Relevant Reportable Condition Value,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[goal.address.coding.code](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.goal.addresses),Reportability Response Summary Section,Relevant Reportable Condition Observation/value/@code
Reportability Response Priority,n/a,Communication[rr-communication].extension,[extension-rr-priority](tructureDefinition-rr-communication-definitions.html#Communication.extension:reportabilityResponsePriority),Reportability Response Summary Section,Reportability Response Priority/value
Reportability Response Subject,n/a,Communication[rr-communication],[topic.display](StructureDefinition-rr-communication-definitions.html#Communication.topic.display),Reportability Response Subject Section,Reportability Response Subject/text
Reportability Response Summary,n/a,Communication[rr-communication],[payload: sliceReportabilityResponseSummary.contentString](StructureDefinition-rr-communication-definitions.html#Communication.payload:sliceReportabilityResponseSummary.contentString:contentString),Reportability Response Summary Section,Reportability Response Summary/text
Reportability Response Unique Identifier,n/a,Communication[rr-communication],[identifier](StructureDefinition-rr-communication-definitions.html#Communication.identifier),Header,ClinicalDocument/id
Reporting Timeframe,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[timingDuration](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.action.timingDuration:timingDuration),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Reporting Timeframe/value
Responsible Agency Address Information,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-responsible-agency],[address](StructureDefinition-rr-responsible-agency-definitions.html#Organization.address),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Responsible Agency/participantRole/addr
Responsible Agency Contact Information,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-responsible-agency],"[telecom[system=""phone""]](StructureDefinition-rr-responsible-agency-definitions.html#Organization.telecom)",Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Responsible Agency/participantRole/telecom
Responsible Agency Description,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-responsible-agency],[text](StructureDefinition-rr-responsible-agency-definitions.html#Organization.text),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Responsible Agency/participantRole/playingEntity/desc
Responsible Agency Identifier,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-responsible-agency],[identifier](StructureDefinition-rr-responsible-agency-definitions.html#Organization.identifier),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Responsible Agency/participantRole/id
Responsible Agency Name,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-responsible-agency],[name](StructureDefinition-rr-responsible-agency-definitions.html#Organization.name),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Responsible Agency/participantRole/playingEntity/name
Routing Entity Address Information,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-routing-entity],[address](StructureDefinition-rr-routing-entity-definitions.html#Organization.address),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Routing Entity/participantRole/addr
Routing Entity Contact Information,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-routing-entity],"[telecom[system=""phone""]](StructureDefinition-rr-routing-entity-definitions.html#Organization.telecom)",Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Routing Entity/participantRole/telecom
Routing Entity Description,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-routing-entity],[text](StructureDefinition-rr-routing-entity-definitions.html#Organization.text),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Routing Entity/participantRole/playingEntity/desc
Routing Entity Identifier,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-routing-entity],[identifier](StructureDefinition-rr-routing-entity-definitions.html#Organization.identifier),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Routing Entity/participantRole/playingEntity/id
Routing Entity Name,PlanDefinition[rr-plandefinition].jurisdiction,Organization[rr-routing-entity],[name](StructureDefinition-rr-routing-entity-definitions.html#Organization.name),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Routing Entity/participantRole/playingEntity/name
Rules Authoring Agency Address Information,PlanDefinition[rr-plandefinition].publisher,Organization[rr-rules-authoring-agency],[address](StructureDefinition-rr-rules-authoring-agency-definitions.html#Organization.address),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Rules Authoring Agency/participantRole/addr
Rules Authoring Agency Contact Information,PlanDefinition[rr-plandefinition].publisher,Organization[rr-rules-authoring-agency],"[telecom[system=""phone""]](StructureDefinition-rr-rules-authoring-agency-definitions.html#Organization.telecom)",Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Rules Authoring Agency/participantRole/telecom
Rules Authoring Agency Description,PlanDefinition[rr-plandefinition].publisher,Organization[rr-rules-authoring-agency],[text](StructureDefinition-rr-rules-authoring-agency-definitions.html#Organization.text),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Rules Authoring Agency/participantRole/playingEntity/desc
Rules Authoring Agency Identifier,PlanDefinition[rr-plandefinition].publisher,Organization[rr-rules-authoring-agency],[identifier](StructureDefinition-rr-rules-authoring-agency-definitions.html#Organization.identifier),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Rules Authoring Agency/participantRole/id
Rules Authoring Agency Name,PlanDefinition[rr-plandefinition].publisher,Organization[rr-rules-authoring-agency],[name](StructureDefinition-rr-rules-authoring-agency-definitions.html#Organization.name),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Rules Authoring Agency/participantRole/playingEntity/name
